Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2016-10-07,130175.99156504952,110833.40071405385,156194.17295165797,122637.88525970156,114655.44045470245
2016-10-10,128296.85056945136,109125.12930736154,153940.30053184033,120868.42175411884,113001.13831363597
2016-10-11,127237.34009381494,109917.78690312778,155059.08010986468,119870.75041130169,112068.39806027901
2016-10-12,125837.98188723235,111108.87487079293,156740.21569851207,118553.06680821613,110836.47279086536
2016-10-13,126677.59986153738,110394.21949383097,157628.33165700693,119343.67984238663,111575.63063789459
2016-10-14,126277.78214167258,110734.53126900773,157130.89307363427,118967.19778710537,111223.65103042604
2016-10-17,126407.7196596259,110623.93270071087,157292.55658089335,119089.55140323263,111338.04154963593
2016-10-18,125128.30905676942,111712.92518855078,155700.7607043822,117884.81457097086,110211.71217649865
2016-10-19,125728.03182362231,112136.31539133856,156446.91383551533,118449.53406349383,110739.67823097519
2016-10-20,125877.96442180772,112270.05876929189,156633.45449026156,118590.71573182406,110871.67142295747
2016-10-21,126237.7996070972,111836.35972750685,157081.1482665118,118929.54886349742,111188.45239833392
2016-10-24,126587.63725227067,111523.95607160292,157516.40346901846,119258.96796906932,111496.43203732418
2016-10-25,127767.09533163317,110470.70459606325,158983.84207164944,120369.58608271029,112534.7681869575
2016-10-26,123329.13313032196,114433.78757349875,164350.67901376748,116190.64891260401,108627.80729961641
2016-10-27,122699.42536900974,114996.11415412581,163347.91170805038,115597.6945225746,108073.44394943396
2016-10-28,122249.63520034222,115397.7750245896,162748.92071495132,115174.15669838185,107677.47108693971
2016-10-31,123569.0283377741,114219.56208668837,164505.97247092822,116416.54245425155,108838.99909216912
2016-11-01,121999.75007866281,115620.92146593367,162416.14568423232,114938.8563114308,107457.48467145345
2016-11-02,119880.72150150125,117513.20574009157,159594.2097677594,112943.50644499851,105591.9974512869
2016-11-03,120280.53922136608,117156.17007196324,160126.65184800743,113319.9885002798,105943.97705875545
2016-11-04,120170.58915775605,117254.35505094574,159980.23002205204,113216.45575555752,105847.1824988653
2016-11-07,120900.25706845103,116602.76444586986,160951.93758016627,113903.5360450057,106489.54578600435
2016-11-08,123738.94839030283,114067.82414094773,164732.25705450005,116576.54499398678,108988.58824347117
2016-11-09,124238.71863366173,113621.53125825954,165397.80711593808,117047.14576788893,109428.56107444374
2016-11-10,126007.9019397611,112041.65744989454,167753.849865014,118713.06934795136,110986.0619421674
2016-11-11,129016.52094003033,109354.97238934283,171760.46407840756,121546.08801746559,113634.70026438887
2016-11-14,129836.15145999206,108623.0455242408,170496.27761731067,122317.8801802311,114356.26215209837
2016-11-15,127657.1452680231,110568.88957504579,173400.20610271677,120266.05333798796,112437.97362706732
2016-11-16,124388.6512318471,113487.64203147532,177756.07850501357,117188.32743621913,109560.554266426
2016-11-17,125318.22418953017,114221.59205294884,176517.25073066942,118063.64516290902,110378.90400057306
2016-11-18,128916.56079064758,110823.97993875157,171721.8021474682,121451.96211804681,113546.70032743225
2016-11-21,128316.84564968341,111371.190835857,172521.03341509553,120887.2498063218,113018.74098640835
2016-11-22,128206.89558607335,111471.51492113544,172667.56219636576,120783.71706159948,112921.94642651817
2016-11-23,130965.62183877444,108954.31139483815,176206.5423816663,123381.4281633647,115350.59161980075
2016-11-25,131195.5271319993,108744.53399693455,175720.76228338224,123597.91485970872,115552.98878941989
2016-11-28,131555.3623172888,108416.20189206922,176026.64022410227,123135.10905485912,115869.76976479637
